i,p,q,RMSE,AIC,BIC,convergence,stationarity
0,0,0,0.038626746392686186,-371.29331834241896,-366.0829779704427,0.0,0.0
0,0,1,0.0388673587640493,-370.59888507426507,-362.7833745163008,0.0,0.0
0,0,2,0.039237104912231424,-370.12908176099995,-359.70840101704766,0.0,0.0
0,0,3,0.039724214116429395,-369.2961287835874,-356.27027785364686,0.0,0.0
0,0,4,0.040223764683992747,-368.6523570612273,-353.0213359452987,0.0,0.0
0,1,0,0.03885841475121942,-370.612473272997,-362.79696271503275,0.0,0.0
0,1,1,0.03918514084081245,-370.19849413684204,-359.77781339288964,0.0,0.0
0,1,2,0.03962987898009311,-369.638044124898,-356.6121931949575,0.0,0.0
0,1,3,0.039895765628818,-368.4790699753648,-352.8480488594362,0.0,0.0
0,1,4,0.04034561638653173,-367.29109570459127,-349.0549044026747,0.0,0.0
0,2,0,0.03923669494407641,-369.6926397805494,-359.2719590365971,0.0,0.0
0,2,1,0.03955523509773639,-369.10460022159447,-356.07874929165405,0.0,0.0
0,2,2,0.040332085370610254,-370.12253821982864,-354.49151710390004,0.0,0.0
0,2,3,0.04039077807432156,-367.6321062839401,-349.3959149820235,0.0,0.0
0,2,4,0.04068247886860004,-366.45907665443974,-345.617715166535,0.0,0.0
0,3,0,0.03961660762874397,-368.53809139490426,-355.5122404649638,0.0,0.0
0,3,1,0.0400632536703269,-367.7461367442569,-352.11511562832834,0.0,0.0
0,3,2,0.04017589440684355,-367.05407253022537,-348.81788122830875,0.0,0.0
0,3,3,0.04080611572133049,-366.3329107984812,-345.49154931057643,0.0,0.0
0,3,4,0.040904495053514386,-365.0296471265399,-341.583115452647,0.0,0.0
0,4,0,0.04012201737976929,-368.12338107686014,-352.4923599609316,0.0,0.0
0,4,1,0.040366074990299296,-366.9803973617514,-348.7442060598347,0.0,0.0
0,4,2,0.04055980101171342,-366.0069799269231,-345.1656184390184,0.0,0.0
0,4,3,0.04110806791725849,-364.6868648615348,-341.24033318764197,0.0,0.0
0,4,4,0.04090497794665254,-363.81716117969296,-337.765459319812,0.0,0.0
1,0,0,0.011594403613982089,-613.5096479549333,-608.2993075829571,0.0,0.0
1,0,1,0.011658933687824027,-612.119619264969,-604.3041087070045,0.0,0.0
1,0,2,0.01173693293377336,-611.0796110121784,-600.658930268226,0.0,0.0
1,0,3,0.011874054136837646,-610.3840799123843,-597.3582289824437,0.0,0.0
1,0,4,0.011992781551681146,-609.5060492753258,-593.8750281593973,0.0,0.0
1,1,0,0.011651610090211345,-612.0374982700728,-604.2219877121086,0.0,0.0
1,1,1,0.011707512988654713,-610.7978391797695,-600.3771584358171,0.0,0.0
1,1,2,0.011799812061730398,-609.9252348256234,-596.899383895683,0.0,0.0
1,1,3,0.011958786104502541,-608.811021598152,-593.1800004822235,0.0,0.0
1,1,4,0.012019755693884722,-607.5417994843885,-589.305608182472,0.0,0.0
1,2,0,0.011706810180519231,-610.9457127985811,-600.5250320546288,0.0,0.0
1,2,1,0.011809058091477398,-609.6654382708625,-596.639587340922,0.0,0.0
1,2,2,0.011964023420072138,-608.7805222337333,-593.1495011178048,0.0,0.0
1,2,3,0.011976533504365689,-607.7793224186856,-589.543131116769,0.0,0.0
1,2,4,0.012092423048663831,-606.3282536430944,-585.4868921551898,0.0,0.0
1,3,0,0.011804457949229743,-609.8939138380106,-596.8680629080701,0.0,0.0
1,3,1,0.011824192050746678,-608.0425436816832,-592.4115225657547,0.0,0.0
1,3,2,0.011989037005348976,-606.7610746314004,-588.5248833294838,0.0,0.0
1,3,3,0.012060948298414444,-605.8893617767657,-585.0480002888609,0.0,0.0
1,3,4,0.01213117326039168,-604.4867871472185,-581.0402554733256,0.0,0.0
