i,p,q,RMSE,AIC,BIC,convergence,stationarity
0,0,0,0.15821381585968206,-87.34348124078467,-82.1331408688085,0.0,0.0
0,0,1,0.15960623558339662,-86.35618655153964,-78.54067599357536,0.0,0.0
0,0,2,0.1608375263658376,-85.673479572198,-75.25279882824562,0.0,0.0
0,0,3,0.16287516691103787,-85.08806806748413,-72.06221713754366,0.0,0.0
0,0,4,0.16468181152330127,-84.89253095924941,-69.26150984332085,0.0,0.0
0,1,0,0.15942533186358807,-86.30943561535334,-78.49392505738908,0.0,0.0
0,1,1,0.16093410890747128,-86.24385374446055,-75.82317300050818,0.0,0.0
0,1,2,0.16321835873488305,-85.68376592923404,-72.65791499929357,0.0,0.0
0,1,3,0.1629604786506757,-84.58855880116523,-68.95753768523669,0.0,0.0
0,1,4,0.166031669777291,-84.00707854648968,-65.77088724457303,0.0,0.0
0,2,0,0.16092363050623043,-85.33324980205192,-74.91256905809955,0.0,0.0
0,2,1,0.16284038785351615,-85.35057826772542,-72.32472733778496,0.0,0.0
0,2,2,0.165571000054665,-87.35673459632359,-71.72571348039506,0.0,0.0
0,2,3,0.16765823877470884,-86.01639674716827,-67.78020544525162,0.0,0.0
0,2,4,0.1693853523087377,-84.42412770255908,-63.58276621465434,0.0,0.0
0,3,0,0.1623243338659564,-84.31681406585754,-71.29096313591708,0.0,0.0
0,3,1,0.16429878055602035,-84.12249138215812,-68.49147026622958,0.0,0.0
0,3,2,0.166780042079977,-85.42093429597129,-67.18474299405466,0.0,0.0
0,3,3,0.1677907530102087,-85.06600150859067,-64.22464002068595,0.0,0.0
0,3,4,0.16771603545753896,-84.15344924675065,-60.70691757285784,0.0,0.0
0,4,0,0.16409754704882626,-84.48060878819261,-68.84958767226408,0.0,0.0
0,4,1,0.16605544259722935,-83.36891513804234,-65.1327238361257,0.0,0.0
0,4,2,0.165982731798383,-84.38720723471599,-63.54584574681125,0.0,0.0
