i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
0,1,0,1.4601032668598064,1.4631434438608353,-1728.753083857668,-1707.680043365557,0.0,0.0
0,1,1,0.25300877472061384,0.2502673321712998,-1794.519470922829,-1769.2318223322961,0.0,0.0
0,1,2,110534016974.17188,110534014148.081,-1594.2389018193037,-1564.7366451303483,0.0,0.0
0,1,3,456988873739.62354,456988876482.8336,-1332.6734896208272,-1298.9566248334495,0.0,0.0
0,1,4,0.0011885985919229648,0.0014508064037713738,-1814.798133097548,-1776.8666602117485,0.0,0.0
0,1,5,0.0011833596515537985,0.0013844315737160252,-1816.7807400010272,-1774.634659016805,0.0,0.0
0,1,6,0.0011896059855437413,0.0014161541058845734,-1812.666296556024,-1766.3056074733802,0.0,0.0
0,2,0,0.0011821472769795239,0.0015029646794843057,-1804.3192936853309,-1779.0316450947983,0.0,0.0
0,2,1,0.0011809819263269346,0.0014307269961569519,-1820.8790354491257,-1791.3767787601705,0.0,0.0
0,2,2,69152484886.57494,69152582220.08438,-933.8461535620795,-900.1292887747021,0.0,0.0
0,2,3,695190681.2170433,480893402.5777161,-979.396698396018,-941.4652255102184,0.0,0.0
0,2,4,326518630146.299,326518627477.67126,-1388.2013501491476,-1346.0552691649254,0.0,0.0
0,2,5,288007.12230453047,289064.1993786242,-1115.0888152543105,-1068.7281261716664,0.0,0.0
0,2,6,0.15227919289478667,0.14573980751211454,-1781.1973819790771,-1730.6220847980103,0.0,0.0
0,3,0,0.0011821158716931127,0.0014500871853672479,-1815.2906566837712,-1785.788399994816,0.0,0.0
0,3,1,0.2073935900407275,0.2127117313743109,-1779.4865624811034,-1745.7696976937252,0.0,0.0
0,3,2,109608770404.00835,109608770365.78178,-1608.5956294685418,-1570.6641565827422,0.0,0.0
0,3,3,23337760952.877052,23337760432.543774,-1554.6180013731496,-1512.4719203889276,0.0,0.0
0,3,4,797.8241335415366,799.2288111719852,-1699.6651324265972,-1653.3044433439534,0.0,0.0
0,3,5,6.2717496076788965e+19,1.254926322486155e+26,34.72337778634363,85.29867496741012,0.0,0.0
0,3,6,2.172102133924895,1.4407021782007934,-1756.8910956403024,-1702.1011903608141,0.0,0.0
0,4,0,0.0011825722350300863,0.0014181478270861865,-1817.9002321639134,-1784.183367376536,0.0,0.0
0,4,1,0.0011894913307912206,0.0014412735463980135,-1816.5907915555106,-1778.6593186697107,0.0,0.0
0,4,2,690796734.130738,690796802.7351167,-1565.119182621336,-1522.9731016371138,0.0,0.0
0,4,3,201514028230.70743,201509820275.48602,-1305.634803107118,-1259.2741140244734,0.0,0.0
0,4,4,925438648740.5028,925438646725.6029,-1611.028137830399,-1560.4528406493323,0.0,0.0
0,4,5,0.051916272652977734,0.05200863519311214,-1768.0362964840622,-1713.2463912045737,0.0,0.0
0,4,6,1.629806806982267e+17,1.6298068070030602e+17,-1315.1501475590258,-1256.1456341811152,0.0,0.0
0,5,0,0.0011822564601164833,0.0014146131549017144,-1815.943184128199,-1778.0117112423993,0.0,0.0
0,5,1,466.77871569921473,202.11855711677885,-1764.9616975432673,-1722.8156165590456,0.0,0.0
0,5,2,0.07267982034095745,0.07514535042332371,-1786.193356173993,-1739.832667091349,0.0,0.0
0,5,3,97267940.04206474,97268406.75738776,-1469.7095380993571,-1419.1342409182907,0.0,0.0
0,5,4,2433633256.7313905,9734542828870826.0,-1531.86511887268,-1477.0752135931912,0.0,0.0
0,5,5,201339.2382667503,202217.0784149656,-1617.820531861029,-1558.8160184831183,0.0,0.0
0,5,6,30.264591912489394,32.09430785599009,-1693.9219558422126,-1630.7028343658797,0.0,0.0
0,6,0,0.0011857296031432458,0.0014367318900517134,-1813.62748338162,-1771.4814023973986,0.0,0.0
0,6,1,0.0011837542634719517,0.0013796114608231839,-1816.0646278372824,-1769.7039387546386,0.0,0.0
0,6,2,0.0011843584752938517,0.0014014578370136449,-1812.5680363940176,-1761.992739212951,0.0,0.0
0,6,3,0.11187998448078318,0.11451643072202215,-1777.082001272857,-1722.2920959933685,0.0,0.0
0,6,4,8523683212.360349,8523683460.292244,-1627.020326117201,-1568.0158127392906,0.0,0.0
0,6,5,19598347116.338097,19593201827.216633,-1427.7146674181572,-1364.4955459418243,0.0,0.0
0,6,6,291115421682.6126,225678633628.11954,-1018.7714112383137,-951.3376816635587,0.0,0.0
1,1,0,1.4416317232277894e+24,1.438021272247968e+24,21207.375674984545,21228.448715476658,0.0,0.0
1,1,1,6.438980257613988e+23,6.124655481936098e+23,1868.1697091730136,1893.4573577635463,0.0,0.0
1,1,2,1.6651286902991265e+18,1.6661915583043543e+18,6274.481770916311,6303.984027605266,0.0,0.0
1,1,3,2.038292371816603e+23,2.0382923924596914e+23,6189.050203419748,6222.767068207126,0.0,0.0
1,1,4,1.4689022316848835e+26,1.4688584500469067e+26,10469.397126871327,10507.328599757126,0.0,0.0
1,1,5,4.541564538188586e+19,7.003342786682998e+19,14071.494493191085,14113.640574175306,0.0,0.0
1,1,6,8.233842808036447e+19,1.68373788436057e+26,6225.500465993918,6271.861155076563,0.0,0.0
1,2,0,1.3255053010371099e+17,1.29703758039337e+17,13111.490616333349,13136.778264923882,0.0,0.0
1,2,1,155143605553216.94,155140180983609.75,-80.40597290884091,-50.90371621988599,0.0,0.0
1,2,2,5.0580346634339686e+17,5.0579341823621e+17,4537.428228225949,4571.145093013326,0.0,0.0
1,2,3,3.340866487616612e+18,3.3685490379377715e+18,7324.384118185674,7362.315591071473,0.0,0.0
1,2,4,3.501449564438889e+18,3.501449573721406e+18,2843.788803655913,2885.934884640135,0.0,0.0
1,2,5,2.632830485864477e+23,2.6888725836856837e+23,8578.066643875185,8624.427332957826,0.0,0.0
1,2,6,1.1516948631155862e+19,1.1634943835413938e+19,4580.888987084869,4631.464284265935,0.0,0.0
1,3,0,2.129142496842641e+21,4.176335449178471e+21,20226.905755726126,20256.40801241508,0.0,0.0
