i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
0,0,0,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,1,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,2,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,3,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,4,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,5,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,0,6,0.15749168199037267,0.017749624243065303,-99.85527675046855,-86.82942582052807,0.0,704.0
0,1,0,0.15828125693753042,0.009714811095292541,-88.72127814502026,-75.69542721507979,0.0,0.0
0,1,1,0.15823359393145248,0.009715413199322988,-92.04411308622988,-76.41309197030134,0.0,0.0
0,1,2,0.15827718073119418,0.007533844350927703,-90.48254741841983,-72.24635611650318,0.0,0.0
0,1,3,0.15840842072607056,0.007501790922192214,-88.71503715665868,-67.87367566875395,0.0,0.0
0,1,4,0.158280794998408,0.007737670946552101,-86.73866432014134,-63.29213264624852,0.0,0.0
0,1,5,0.15832764177129682,0.0075448458403851735,-84.8841943490903,-58.83249248920935,0.0,0.0
0,1,6,0.15818529327412803,0.007533822246076868,-82.91878220129189,-54.261910155422875,0.0,0.0
0,2,0,0.15832065515301014,0.00971466780624413,-89.58568872467782,-73.95466760874928,0.0,0.0
0,2,1,0.15825637999065,0.009715233136631907,-90.86209840790765,-72.62590710599102,0.0,0.0
0,2,2,0.1582147956069127,0.0075391868759035665,-89.44896204824532,-68.60760056034059,0.0,0.0
0,2,3,0.15826507805390444,0.007894359010174084,-87.87142880139719,-64.42489712750435,0.0,0.0
0,2,4,0.1582114409978269,0.007736139611956844,-86.05409480005416,-60.002392940173245,0.0,0.0
0,2,5,0.1583953852338208,0.007892078049446319,-84.18276259431867,-55.52589054844967,0.0,0.0
0,2,6,0.15829833309379468,0.008348164084448478,-82.34918494914898,-51.08714271729189,0.0,0.0
0,3,0,0.15822188577179522,0.009715998050660405,-89.55919736007165,-71.323006058155,0.0,0.0
0,3,1,0.15832076002782755,0.009715256886163173,-89.52475681284585,-68.68339532494112,0.0,0.0
0,3,2,0.15827794875997026,0.007534891102149502,-87.7808845784941,-64.33435290460129,0.0,0.0
0,3,3,0.15825579314688085,0.007894561794424668,-86.36542792356865,-60.31372606368771,0.0,0.0
0,3,4,0.15829336329875218,0.007738822120291988,-84.49228057101446,-55.835408525145446,0.0,0.0
0,3,5,0.15827193469567494,0.00789300814366832,-82.74632081917042,-51.48427858731332,0.0,0.0
0,3,6,0.1582400253126466,0.00879874493137584,-80.93834493876011,-47.07113252091492,0.0,0.0
0,4,0,0.15816065446859143,0.008627147134896396,-88.82721973196537,-67.98585824406064,0.0,0.0
0,4,1,0.15833288601525286,0.00847424302622269,-87.91020474636156,-64.46367307246872,0.0,0.0
0,4,2,0.15830309086986305,0.007533169471957095,-86.17771328589039,-60.12601142600949,0.0,0.0
0,4,3,0.15832947295874542,0.007893604561418419,-84.64779142137326,-55.99091937550424,0.0,0.0
0,4,4,0.15834015092741446,0.007736714176781851,-82.80408097162311,-51.54203873976603,0.0,0.0
0,4,5,0.1582523519674815,0.009635477085402707,-81.10727755064948,-47.24006513280429,0.0,0.0
0,4,6,0.1581577574535276,0.009462271430669772,-79.25557342809944,-42.783190824266164,0.0,0.0
0,5,0,0.15811875684773619,0.008405919691953614,-87.75783927293331,-64.31130759904048,0.0,0.0
0,5,1,0.15829330054593116,0.008406619556872148,-86.31456781838834,-60.262865958507426,0.0,0.0
0,5,2,2.1054896185400884,0.007528081418121547,-81.46275025234885,-52.80587820647985,0.0,0.0
0,5,3,635.5429649354412,0.008009878707182744,-76.92452205362001,-45.6624798217629,0.0,0.0
0,5,4,0.1583987081769893,0.009667697417493109,-81.09753823240055,-47.23032581455536,0.0,0.0
0,5,5,0.15854372023217825,0.009635465616297448,-79.40126193724006,-42.92887933340678,0.0,0.0
0,5,6,0.1582656798392086,0.009467679394111186,-77.78477463843836,-38.70722184861699,0.0,0.0
0,6,0,697.1178415845297,0.008406700912091586,-41.231733074899175,-15.180031215018259,0.0,0.0
0,6,1,6.956412468421507,0.008407101204404938,-82.21716795803077,-53.56029591216176,0.0,0.0
0,6,2,0.15825205694036854,0.007529567067622745,-83.04132675789822,-51.77928452604112,0.0,0.0
0,6,3,0.1583606380187686,0.008009999363517836,-81.55822372271982,-47.691011304874614,0.0,0.0
0,6,4,0.15833361288984943,0.00967083700918305,-79.66656467234466,-43.19418206851138,0.0,0.0
0,6,5,1209012.7736842318,0.009634909366205497,-64.62868991479017,-25.551137124968786,0.0,0.0
0,6,6,0.1582293615197767,0.009466042072133979,-75.74658810376923,-34.06386512795975,0.0,0.0
1,0,0,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,0,1,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,0,2,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,0,3,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
