i,p,q,RMSE,AIC,BIC,convergence,stationarity
0,0,0,0.022574217414917993,-357.241994535972,-348.8127783391277,0.0,0.0
0,0,1,0.02259397514057889,-355.52886828506564,-342.88504398979904,0.0,0.0
0,0,2,0.02277522841584065,-354.1922459402732,-337.33381354658445,0.0,0.0
0,0,3,0.02284264999975394,-352.5339145443259,-331.4608740522149,0.0,0.0
0,0,4,0.023056081826100368,-351.8863178341905,-326.5986692436574,0.0,0.0
0,1,0,0.022592827026834145,-355.5084756640839,-342.8646513688173,0.0,0.0
0,1,1,0.022797671891962946,-355.02796301707986,-338.1695306233911,0.0,0.0
0,1,2,0.022935797847679858,-352.960744471981,-331.88770397987,0.0,0.0
0,1,3,0.022899350708014254,-351.28687777636765,-325.9992291858345,0.0,0.0
0,1,4,0.023408342366229025,-351.1954651811008,-321.6932084921454,0.0,0.0
0,2,0,0.02274324002521119,-354.13476353855947,-337.2763311448707,0.0,0.0
0,2,1,0.022832052865629417,-352.8327090208175,-331.7596685287065,0.0,0.0
0,2,2,0.02324019589657821,-353.20323309305815,-327.91558450252506,0.0,0.0
0,2,3,0.02334477263625227,-351.26991620111875,-321.7676595121634,0.0,0.0
0,2,4,0.023604416192149775,-351.2469372342139,-317.5300724468363,0.0,0.0
0,3,0,0.02280182525687473,-352.48990727189033,-331.41686677977935,0.0,0.0
0,3,1,0.022871009346539534,-350.98720338281163,-325.6995547922785,0.0,0.0
0,3,2,0.02317742497708665,-350.8018186613674,-321.299561972412,0.0,0.0
0,3,3,0.023328263552876146,-351.5307612875363,-317.81389650015876,0.0,0.0
0,3,4,0.023724659190006242,-349.74597142513284,-311.8144985393331,0.0,0.0
0,4,0,0.02304151480219027,-351.74176811568975,-326.4541195251566,0.0,0.0
0,4,1,0.02331415273005678,-351.00862344987934,-321.50636676092404,0.0,0.0
0,4,2,0.023533176992595103,-349.8377198789929,-316.12085509161545,0.0,0.0
0,4,3,0.02363394627592579,-349.58505002025333,-311.65357713445354,0.0,0.0
0,4,4,0.02319852821788565,-349.11103733939444,-306.9649563551725,0.0,0.0
1,0,0,0.0045269233810492585,-1419.987002392235,-1411.5577861953905,0.0,0.0
1,0,1,0.004522667507241133,-1419.5815237958275,-1406.9376995005607,0.0,0.0
1,0,2,0.004515272439652466,-1418.0988980262675,-1401.2404656325787,0.0,0.0
1,0,3,0.004517804133611518,-1416.4154991051548,-1395.3424586130438,0.0,0.0
